db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T15:48:00.000Z,USDEGP_otc,L41,PUT,0.760000,50,47.513000,47.513440,47.512790,47.513380,2.013423,17.638266,40.712967,47.515180,47.512304,47.509427,1.210862,47.513895,47.512855,0.218888,0.832004,0.378858,97.125222,overbought,0.687117,79.486956,-23.074701,47.514260,-500,0
trading_data.db,2026-04-25T06:44:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16772.700000,16774.100000,16767.700000,16768.900000,58.875740,69.354708,44.186017,16776.017005,16763.575000,16751.132995,14.844096,16761.683333,16763.907143,-1.326546,10.598578,4.245518,84.275061,overbought,0.713993,14.920352,25.168691,16780.600000,-500,0
trading_data.db,2026-04-25T07:06:00.000Z,USDIDR_otc,L16,CALL,0.686000,86,16749.700000,16754.200000,16744,16746.300000,0,6.061007,4.144235,16791.210017,16770.540000,16749.869983,24.650389,16757.283333,16767.414286,-6.042048,-2.128723,26.779112,8.539809,oversold,-0.086357,2.478802,1.916772,16743.200000,-500,0
trading_data.db,2026-04-25T07:07:00.000Z,USDIDR_otc,L16,CALL,0.686000,86,16744.500000,16744.700000,16734.800000,16736.300000,0,7.518546,5.854536,16792.484135,16768.095000,16743.705865,29.089929,16751.600000,16764.364286,-7.613940,-4.416641,33.506570,5.351123,oversold,-0.151827,-2.167423,1.664010,16737.900000,460,1
trading_data.db,2026-04-25T07:57:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16737.800000,16743.300000,16736.800000,16740.200000,41.567696,49.551687,23.038589,16757.044164,16740.415000,16723.785836,19.867087,16731.166667,16739.257143,-4.833235,9.805112,10.061975,22.924331,oversold,0.493535,-26.627356,26.513098,16733.700000,460,1
trading_data.db,2026-04-25T07:58:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16740.200000,16742.700000,16731.700000,16731.700000,64.610390,79.539295,48.436445,16755.562122,16739.820000,16724.077878,18.807994,16730.383333,16739.064286,-5.186044,4.553288,14.254706,18.019697,oversold,0.242093,-61.519599,31.102850,16737.900000,-500,0
trading_data.db,2026-04-25T09:07:00.000Z,USDIDR_otc,L16,CALL,0.686000,86,16737,16738.300000,16730.400000,16733.200000,0,7.806666,7.453728,16776.925533,16755.930000,16734.934467,25.060421,16744.266667,16755.742857,-6.849109,-1.035136,26.095557,12.733895,oversold,-0.041306,4.927229,0.352938,16745.100000,460,1
trading_data.db,2026-04-25T09:09:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16743.400000,16746.400000,16739.900000,16745.100000,54.545455,54.482516,29.286349,16776.268722,16754.320000,16732.371278,26.200672,16739.816667,16752.435714,-7.532664,7.597278,18.603394,5.079778,oversold,0.289965,-49.402738,25.196167,16737.100000,460,1
trading_data.db,2026-04-25T09:10:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16744.500000,16744.600000,16739.600000,16743.800000,60.106383,84.507026,54.853135,16776.250581,16753.890000,16731.529419,26.693003,16740.283333,16750.664286,-6.197338,7.324019,19.368983,3.160498,oversold,0.274380,-81.346528,29.653890,16732.300000,460,1
trading_data.db,2026-04-25T11:47:00.000Z,USDIDR_otc,L65,PUT,0.637800,323,16696.100000,16701.400000,16692.900000,16698.200000,65.405405,70.070523,44.479775,16706.577932,16695.940000,16685.302068,12.743137,16693.250000,16698.035714,-2.866034,7.725191,5.017946,98.014325,overbought,0.606224,27.943802,25.590747,16698,460,1
